2025-02-21 10:13:47 install libheif1:amd64 <none> 1.11.0-1+deb11u2
2025-02-21 10:13:47 status half-installed libheif1:amd64 1.11.0-1+deb11u2
2025-02-21 10:13:47 status unpacked libheif1:amd64 1.11.0-1+deb11u2
2025-02-21 10:13:48 install libjbig0:amd64 <none> 2.1-3.1+b2
2025-02-21 10:13:48 status half-installed libjbig0:amd64 2.1-3.1+b2
2025-02-21 10:13:49 status unpacked libjbig0:amd64 2.1-3.1+b2
2025-02-21 10:13:49 install libjpeg62-turbo:amd64 <none> 1:2.0.6-4
2025-02-21 10:13:49 status half-installed libjpeg62-turbo:amd64 1:2.0.6-4
2025-02-21 10:13:50 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2025-02-21 10:13:51 install liblcms2-2:amd64 <none> 2.12~rc1-2
2025-02-21 10:13:51 status half-installed liblcms2-2:amd64 2.12~rc1-2
2025-02-21 10:13:51 status unpacked liblcms2-2:amd64 2.12~rc1-2
2025-02-21 10:13:51 install liblqr-1-0:amd64 <none> 0.4.2-2.1
2025-02-21 10:13:51 status half-installed liblqr-1-0:amd64 0.4.2-2.1
2025-02-21 10:13:51 status unpacked liblqr-1-0:amd64 0.4.2-2.1
2025-02-21 10:13:52 install libltdl7:amd64 <none> 2.4.6-15
2025-02-21 10:13:52 status half-installed libltdl7:amd64 2.4.6-15
2025-02-21 10:13:52 status unpacked libltdl7:amd64 2.4.6-15
2025-02-21 10:13:52 install libopenjp2-7:amd64 <none> 2.4.0-3
2025-02-21 10:13:52 status half-installed libopenjp2-7:amd64 2.4.0-3
2025-02-21 10:13:52 status unpacked libopenjp2-7:amd64 2.4.0-3
2025-02-21 10:13:52 install libdeflate0:amd64 <none> 1.7-1
2025-02-21 10:13:52 status half-installed libdeflate0:amd64 1.7-1
2025-02-21 10:13:52 status unpacked libdeflate0:amd64 1.7-1
2025-02-21 10:13:52 install libwebp6:amd64 <none> 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 status half-installed libwebp6:amd64 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 status unpacked libwebp6:amd64 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 install libtiff5:amd64 <none> 4.2.0-1+deb11u6
2025-02-21 10:13:52 status half-installed libtiff5:amd64 4.2.0-1+deb11u6
2025-02-21 10:13:52 status unpacked libtiff5:amd64 4.2.0-1+deb11u6
2025-02-21 10:13:52 install libwebpdemux2:amd64 <none> 0.6.1-2.1+deb11u2
2025-02-21 10:13:52 status half-installed libwebpdemux2:amd64 0.6.1-2.1+deb11u2
